ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 23:21:00,35099.0,35109.0,35094.0,35105.0,106,2026-04-09,2
2026-04-08 23:22:00,35104.0,35104.0,35088.0,35100.0,69,2026-04-09,2
2026-04-08 23:23:00,35101.0,35107.0,35095.0,35100.0,56,2026-04-09,2
2026-04-08 23:24:00,35101.0,35111.0,35095.0,35109.0,68,2026-04-09,2
2026-04-08 23:25:00,35110.0,35123.0,35108.0,35119.0,105,2026-04-09,2
2026-04-08 23:26:00,35120.0,35122.0,35107.0,35114.0,57,2026-04-09,2
2026-04-08 23:27:00,35109.0,35115.0,35098.0,35115.0,83,2026-04-09,2
2026-04-08 23:28:00,35117.0,35132.0,35103.0,35112.0,116,2026-04-09,2
2026-04-08 23:29:00,35116.0,35120.0,35107.0,35118.0,29,2026-04-09,2
2026-04-08 23:30:00,35117.0,35117.0,35102.0,35103.0,59,2026-04-09,2
2026-04-08 23:31:00,35106.0,35110.0,35095.0,35103.0,99,2026-04-09,2
2026-04-08 23:32:00,35100.0,35100.0,35088.0,35095.0,81,2026-04-09,2
2026-04-08 23:33:00,35093.0,35112.0,35086.0,35108.0,80,2026-04-09,2
2026-04-08 23:34:00,35105.0,35110.0,35095.0,35100.0,40,2026-04-09,2
2026-04-08 23:35:00,35105.0,35105.0,35098.0,35105.0,30,2026-04-09,2
2026-04-08 23:36:00,35107.0,35119.0,35105.0,35105.0,75,2026-04-09,2
2026-04-08 23:37:00,35106.0,35128.0,35095.0,35124.0,119,2026-04-09,2
2026-04-08 23:38:00,35125.0,35131.0,35115.0,35122.0,79,2026-04-09,2
2026-04-08 23:39:00,35125.0,35139.0,35125.0,35136.0,83,2026-04-09,2
2026-04-08 23:40:00,35136.0,35148.0,35133.0,35145.0,128,2026-04-09,2
2026-04-08 23:41:00,35145.0,35150.0,35129.0,35134.0,125,2026-04-09,2
2026-04-08 23:42:00,35138.0,35142.0,35122.0,35140.0,39,2026-04-09,2
2026-04-08 23:43:00,35138.0,35144.0,35134.0,35144.0,19,2026-04-09,2
2026-04-08 23:44:00,35141.0,35154.0,35140.0,35140.0,73,2026-04-09,2
2026-04-08 23:45:00,35142.0,35145.0,35137.0,35145.0,47,2026-04-09,2
2026-04-08 23:46:00,35147.0,35161.0,35145.0,35146.0,102,2026-04-09,2
2026-04-08 23:47:00,35148.0,35163.0,35148.0,35163.0,29,2026-04-09,2
2026-04-08 23:48:00,35164.0,35172.0,35155.0,35168.0,95,2026-04-09,2
2026-04-08 23:49:00,35167.0,35167.0,35158.0,35160.0,101,2026-04-09,2
2026-04-08 23:50:00,35164.0,35179.0,35164.0,35175.0,43,2026-04-09,2
2026-04-08 23:51:00,35175.0,35188.0,35174.0,35180.0,126,2026-04-09,2
2026-04-08 23:52:00,35180.0,35183.0,35172.0,35182.0,58,2026-04-09,2
2026-04-08 23:53:00,35180.0,35181.0,35166.0,35166.0,26,2026-04-09,2
2026-04-08 23:54:00,35172.0,35175.0,35168.0,35170.0,19,2026-04-09,2
2026-04-08 23:55:00,35168.0,35171.0,35166.0,35170.0,30,2026-04-09,2
2026-04-08 23:56:00,35170.0,35174.0,35168.0,35169.0,13,2026-04-09,2
2026-04-08 23:57:00,35170.0,35172.0,35167.0,35170.0,15,2026-04-09,2
2026-04-08 23:58:00,35172.0,35176.0,35164.0,35175.0,45,2026-04-09,2
2026-04-08 23:59:00,35173.0,35173.0,35161.0,35169.0,41,2026-04-09,2
2026-04-09 00:00:00,35171.0,35171.0,35154.0,35161.0,45,2026-04-09,2
2026-04-09 00:01:00,35158.0,35180.0,35158.0,35179.0,43,2026-04-09,2
2026-04-09 00:02:00,35180.0,35196.0,35175.0,35196.0,82,2026-04-09,2
2026-04-09 00:03:00,35193.0,35196.0,35182.0,35192.0,64,2026-04-09,2
2026-04-09 00:04:00,35191.0,35213.0,35189.0,35207.0,166,2026-04-09,2
2026-04-09 00:05:00,35209.0,35211.0,35185.0,35194.0,124,2026-04-09,2
2026-04-09 00:06:00,35194.0,35196.0,35173.0,35177.0,59,2026-04-09,2
2026-04-09 00:07:00,35184.0,35188.0,35173.0,35186.0,57,2026-04-09,2
2026-04-09 00:08:00,35187.0,35192.0,35177.0,35177.0,50,2026-04-09,2
2026-04-09 00:09:00,35182.0,35182.0,35175.0,35182.0,19,2026-04-09,2
2026-04-09 00:10:00,35183.0,35186.0,35178.0,35186.0,64,2026-04-09,2
2026-04-09 00:11:00,35185.0,35185.0,35179.0,35185.0,16,2026-04-09,2
2026-04-09 00:12:00,35186.0,35191.0,35186.0,35189.0,83,2026-04-09,2
2026-04-09 00:13:00,35188.0,35190.0,35176.0,35176.0,22,2026-04-09,2
2026-04-09 00:14:00,35174.0,35179.0,35168.0,35178.0,49,2026-04-09,2
2026-04-09 00:15:00,35177.0,35177.0,35157.0,35160.0,43,2026-04-09,2
2026-04-09 00:16:00,35161.0,35167.0,35145.0,35151.0,104,2026-04-09,2
2026-04-09 00:17:00,35155.0,35158.0,35149.0,35149.0,42,2026-04-09,2
2026-04-09 00:18:00,35147.0,35152.0,35136.0,35142.0,94,2026-04-09,2
2026-04-09 00:19:00,35143.0,35153.0,35140.0,35146.0,47,2026-04-09,2
2026-04-09 00:20:00,35146.0,35161.0,35131.0,35153.0,79,2026-04-09,2
2026-04-09 00:21:00,35151.0,35154.0,35140.0,35140.0,26,2026-04-09,2
2026-04-09 00:22:00,35140.0,35167.0,35138.0,35155.0,49,2026-04-09,2
2026-04-09 00:23:00,35150.0,35152.0,35145.0,35145.0,18,2026-04-09,2
2026-04-09 00:24:00,35148.0,35151.0,35146.0,35151.0,18,2026-04-09,2
2026-04-09 00:25:00,35150.0,35162.0,35150.0,35160.0,19,2026-04-09,2
2026-04-09 00:26:00,35161.0,35161.0,35151.0,35153.0,8,2026-04-09,2
2026-04-09 00:27:00,35152.0,35175.0,35152.0,35167.0,67,2026-04-09,2
2026-04-09 00:28:00,35166.0,35174.0,35164.0,35172.0,31,2026-04-09,2
2026-04-09 00:29:00,35173.0,35180.0,35167.0,35179.0,29,2026-04-09,2
2026-04-09 00:30:00,35180.0,35180.0,35172.0,35177.0,25,2026-04-09,2
2026-04-09 00:31:00,35180.0,35180.0,35166.0,35170.0,43,2026-04-09,2
2026-04-09 00:32:00,35172.0,35178.0,35172.0,35178.0,11,2026-04-09,2
2026-04-09 00:33:00,35179.0,35190.0,35179.0,35190.0,60,2026-04-09,2
2026-04-09 00:34:00,35190.0,35203.0,35190.0,35200.0,65,2026-04-09,2
2026-04-09 00:35:00,35199.0,35202.0,35188.0,35199.0,51,2026-04-09,2
2026-04-09 00:36:00,35196.0,35208.0,35196.0,35205.0,43,2026-04-09,2
2026-04-09 00:37:00,35207.0,35219.0,35207.0,35213.0,67,2026-04-09,2
2026-04-09 00:38:00,35212.0,35225.0,35207.0,35223.0,40,2026-04-09,2
