entry_type,pnl_pts,pnl_cash,bars_held,mfe,mae
EARLY_BREAKOUT,7.5,1500.0,21,25.0,-8.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,7,4.0,-9.0
EARLY_BREAKOUT,-3.0,-600.0,21,11.0,-13.0
EARLY_BREAKOUT,-5.1,-1019.9999999999999,5,8.0,-21.0
EARLY_BREAKOUT,-2.6999999999999997,-540.0,19,7.0,-11.0
EARLY_BREAKOUT,-2.4,-480.0,4,2.0,-9.0
EARLY_BREAKOUT,3.5999999999999996,719.9999999999999,5,14.0,-6.0
EARLY_BREAKOUT,-2.4,-480.0,134,10.0,-8.0
EARLY_BREAKOUT,-1.2,-240.0,4,0.0,-5.0
CONFIRMED_BREAKOUT,17.0,3400.0,7,17.0,-11.0
EARLY_BREAKOUT,-3.9,-780.0,3,1.0,-13.0
CONFIRMED_BREAKOUT,34.0,6800.0,30,34.0,-17.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,5,6.0,-16.0
EARLY_BREAKOUT,-3.5999999999999996,-719.9999999999999,62,7.0,-15.0
CONFIRMED_BREAKOUT,-20.0,-4000.0,24,28.0,-20.0
EARLY_BREAKOUT,-3.0,-600.0,1,1.0,-10.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,3,5.0,-17.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,16,11.0,-13.0
EARLY_BREAKOUT,-4.2,-840.0,6,1.0,-15.0
EARLY_BREAKOUT,-1.5,-300.0,20,8.0,-6.0
EARLY_BREAKOUT,2.6999999999999997,540.0,14,10.0,-6.0
CONFIRMED_BREAKOUT,26.0,5200.0,28,29.0,-12.0
EARLY_BREAKOUT,-4.2,-840.0,4,6.0,-16.0
CONFIRMED_BREAKOUT,-15.0,-3000.0,2,7.0,-16.0
EARLY_BREAKOUT,2.6999999999999997,540.0,10,9.0,-5.0
EARLY_BREAKOUT,-2.4,-480.0,13,8.0,-8.0
CONFIRMED_BREAKOUT,-13.0,-2600.0,7,4.0,-14.0
CONFIRMED_BREAKOUT,-9.0,-1800.0,3,6.0,-11.0
EARLY_BREAKOUT,-1.5,-300.0,7,3.0,-8.0
EARLY_BREAKOUT,7.5,1500.0,25,28.0,-10.0
CONFIRMED_BREAKOUT,-10.0,-2000.0,20,5.0,-15.0
EARLY_BREAKOUT,-2.4,-480.0,11,10.0,-8.0
EARLY_BREAKOUT,1.7999999999999998,359.99999999999994,11,7.0,-4.0
EARLY_BREAKOUT,-1.5,-300.0,2,2.0,-6.0
EARLY_BREAKOUT,-1.7999999999999998,-359.99999999999994,3,1.0,-6.0
